transaction_id,sender_account_id,receiver_account_id,amount_inr,timestamp,transaction_type,bank_name,remarks
TXN-0001,ACC0021,EXTERNAL-CASH,4000,2026-03-02 03:43:31,UPI,Vindhya Urban Bank,Supplier payment - handloom
TXN-0002,ACC0008,ACC0009,216000,2026-03-02 06:35:10,RTGS,Vindhya Urban Bank,Reimbursement
TXN-0003,ACC0008,ACC0009,265000,2026-03-02 10:31:00,NEFT,Vindhya Urban Bank,Reimbursement
TXN-0004,ACC0021,EXTERNAL-CASH,8500,2026-03-02 16:14:42,UPI,Vindhya Urban Bank,Supplier payment - handloom
TXN-0005,ACC0070,ACC0069,42800,2026-03-02 16:19:34,cash-deposit,Narmada National Bank,Mobile recharge
TXN-0006,ACC0069,ACC0078,65100,2026-03-02 19:04:19,NEFT,Narmada National Bank,Rent
TXN-0007,ACC0001,ACC0007,367000,2026-03-03 00:14:12,NEFT,Vindhya Urban Bank,Advisory charges
TXN-0008,ACC0042,EXTERNAL-CASH,16600,2026-03-03 00:26:54,cash-deposit,Narmada National Bank,Society maintenance
TXN-0009,ACC0049,ACC0077,63800,2026-03-03 00:27:11,cash-withdrawal,Sahyadri Cooperative Bank,Rent
TXN-0010,ACC0070,ACC0001,75000,2026-03-03 00:36:01,NEFT,Narmada National Bank,Advance for allotment
TXN-0011,ACC0001,ACC0008,190000,2026-03-03 04:07:05,IMPS,Vindhya Urban Bank,Professional fees
TXN-0012,ACC0067,ACC0059,900,2026-03-03 04:59:37,UPI,Narmada National Bank,Grocery payment
TXN-0013,ACC0022,EXTERNAL-CASH,63000,2026-03-03 09:36:14,cash-deposit,Chandrabhaga Bank Ltd,Scrap sale collection
TXN-0014,ACC0016,ACC0013,67000,2026-03-03 14:57:32,UPI,Narmada National Bank,Trip advance
TXN-0015,ACC0072,EXTERNAL-CASH,50500,2026-03-04 04:20:12,cash-deposit,Narmada National Bank,Grocery payment
TXN-0016,ACC0046,ACC0036,81100,2026-03-04 10:16:33,IMPS,Ratnagiri Commercial Bank,Medical shop payment
TXN-0017,ACC0046,ACC0027,49800,2026-03-04 11:26:43,NEFT,Ratnagiri Commercial Bank,Salary credit
TXN-0018,ACC0006,ACC0001,505000,2026-03-04 14:00:00,cash-deposit,Narmada National Bank,Cash deposit - shop collection
TXN-0019,ACC0057,ACC0039,31600,2026-03-04 15:49:08,NEFT,Chandrabhaga Bank Ltd,Electricity bill
TXN-0020,ACC0021,EXTERNAL-CASH,29500,2026-03-04 23:34:36,UPI,Vindhya Urban Bank,Supplier payment - handloom
TXN-0021,ACC0031,ACC0067,65500,2026-03-04 23:58:28,NEFT,Ratnagiri Commercial Bank,Insurance premium
TXN-0022,ACC0043,EXTERNAL-CASH,19100,2026-03-05 07:41:23,UPI,Girnar Small Finance Bank,Fuel payment
TXN-0023,ACC0020,EXTERNAL-CASH,14000,2026-03-05 09:00:00,UPI,Ratnagiri Commercial Bank,Rent - Shrivardhan Apartments 3B (shared)
TXN-0024,ACC0058,ACC0001,145000,2026-03-05 12:35:59,UPI,Girnar Small Finance Bank,Advance for allotment
TXN-0025,ACC0039,EXTERNAL-CASH,57400,2026-03-05 14:16:36,NEFT,Ratnagiri Commercial Bank,School fees
TXN-0026,ACC0065,ACC0040,15400,2026-03-05 14:24:56,cash-withdrawal,Sahyadri Cooperative Bank,Mobile recharge
TXN-0027,ACC0014,ACC0017,102000,2026-03-05 16:30:25,UPI,Narmada National Bank,Handling charges
TXN-0028,ACC0018,EXTERNAL-CASH,18500,2026-03-05 20:00:00,UPI,Sahyadri Cooperative Bank,Rent - Sanmitra Residency flat 502
TXN-0029,ACC0075,ACC0074,60000,2026-03-06 00:32:50,NEFT,Girnar Small Finance Bank,Society maintenance
TXN-0030,ACC0050,ACC0001,75000,2026-03-06 02:58:35,IMPS,Narmada National Bank,Advance for allotment
TXN-0031,ACC0064,EXTERNAL-CASH,3400,2026-03-06 09:43:12,NEFT,Ratnagiri Commercial Bank,Electricity bill
TXN-0032,EXTERNAL-CASH,ACC0019,920000,2026-03-06 11:20:00,cash-deposit,Narmada National Bank,"Cash deposit - sale proceeds, land parcel Ganjbasoda survey 44/1 (sale deed ref GBS/2026/318)"
TXN-0033,ACC0042,ACC0001,120000,2026-03-06 12:53:14,UPI,Narmada National Bank,Investment - Ashvamedh scheme
TXN-0034,ACC0071,ACC0001,49000,2026-03-06 18:07:27,NEFT,Vindhya Urban Bank,Trading margin
TXN-0035,ACC0039,EXTERNAL-CASH,41000,2026-03-06 21:28:45,NEFT,Ratnagiri Commercial Bank,Fixed deposit renewal
TXN-0036,ACC0026,EXTERNAL-CASH,37300,2026-03-07 01:21:43,UPI,Ratnagiri Commercial Bank,Society maintenance
TXN-0037,ACC0043,ACC0001,145000,2026-03-07 02:08:46,IMPS,Girnar Small Finance Bank,Investment - Ashvamedh scheme
TXN-0038,ACC0069,ACC0037,51800,2026-03-07 05:46:01,NEFT,Narmada National Bank,Mobile recharge
TXN-0039,ACC0026,ACC0018,61400,2026-03-07 06:30:00,NEFT,Ratnagiri Commercial Bank,Salary credit - night shift allowance
TXN-0040,ACC0042,EXTERNAL-CASH,75300,2026-03-07 13:03:52,cash-withdrawal,Narmada National Bank,Fuel payment
TXN-0041,ACC0067,EXTERNAL-CASH,64300,2026-03-07 15:11:45,cash-withdrawal,Narmada National Bank,Fixed deposit renewal
TXN-0042,ACC0021,EXTERNAL-CASH,19500,2026-03-07 15:50:41,UPI,Vindhya Urban Bank,Supplier payment - handloom
TXN-0043,ACC0052,EXTERNAL-CASH,67300,2026-03-07 21:30:52,UPI,Vindhya Urban Bank,Grocery payment
TXN-0044,ACC0045,EXTERNAL-CASH,59400,2026-03-07 23:40:22,cash-deposit,Vindhya Urban Bank,Electricity bill
