log_id,vehicle_id,location_name,timestamp,camera_id
VML-00001,V017,Ghatpimpri Toll Plaza Lane 2,2026-03-02 03:46:11,CAM-04
VML-00002,V010,Shrivardhan Apartments Lane,2026-03-02 06:56:00,CAM-14
VML-00003,V011,Shrivardhan Apartments Lane,2026-03-02 09:10:00,CAM-14
VML-00004,V010,Tilakwadi Signal,2026-03-02 09:33:38,CAM-01
VML-00005,V009,Purana Peth Crossing,2026-03-02 12:03:27,CAM-03
VML-00006,V006,Shrivardhan Apartments Lane,2026-03-02 14:38:23,CAM-14
VML-00007,V011,Shrivardhan Apartments Lane,2026-03-02 19:55:00,CAM-14
VML-00008,V017,Purana Peth Crossing,2026-03-03 09:01:50,CAM-03
VML-00009,V011,Shrivardhan Apartments Lane,2026-03-03 09:09:00,CAM-14
VML-00010,V015,Shrivardhan Apartments Lane,2026-03-03 10:29:33,CAM-14
VML-00011,V009,Shrivardhan Apartments Lane,2026-03-03 13:36:03,CAM-14
VML-00012,V011,Shrivardhan Apartments Lane,2026-03-03 19:21:00,CAM-14
VML-00013,V016,Tilakwadi Signal,2026-03-04 00:17:25,CAM-01
VML-00014,V013,Ghatpimpri Toll Plaza Lane 2,2026-03-04 03:03:28,CAM-04
VML-00015,V014,Ghatpimpri Toll Plaza Lane 5,2026-03-04 06:14:21,CAM-05
VML-00016,V020,Nandanvan Cold Storage Gate,2026-03-04 08:03:30,CAM-07
VML-00017,V013,Nandanvan Industrial Belt Junction,2026-03-04 09:21:19,CAM-08
VML-00018,V011,Shrivardhan Apartments Lane,2026-03-04 09:35:00,CAM-14
VML-00019,V005,Kaveri Depot Yard Gate,2026-03-04 11:39:11,CAM-06
VML-00020,V001,Ambika Bypass Km-14,2026-03-04 18:25:01,CAM-09
VML-00021,V011,Shrivardhan Apartments Lane,2026-03-04 19:28:00,CAM-14
VML-00022,V013,Nandanvan Industrial Belt Junction,2026-03-04 21:18:28,CAM-08
VML-00023,V014,Old Airport Cargo Road,2026-03-05 04:11:34,CAM-12
VML-00024,V003,Devgiri Colony Entry,2026-03-05 05:01:31,CAM-13
VML-00025,V013,Old Airport Cargo Road,2026-03-05 06:13:11,CAM-12
VML-00026,V011,Shrivardhan Apartments Lane,2026-03-05 09:19:00,CAM-14
VML-00027,V002,Ambika Bypass Km-14,2026-03-05 15:03:52,CAM-09
VML-00028,V004,Vashisht Market Entry Gate,2026-03-05 15:17:18,CAM-02
VML-00029,V011,Shrivardhan Apartments Lane,2026-03-05 19:26:00,CAM-14
VML-00030,V010,Shrivardhan Apartments Lane,2026-03-05 20:23:00,CAM-14
VML-00031,V003,Rewa Gate Check Post,2026-03-05 20:41:23,CAM-11
VML-00032,V016,Nandanvan Cold Storage Gate,2026-03-05 21:27:03,CAM-07
VML-00033,V016,Nandanvan Cold Storage Gate,2026-03-05 22:06:35,CAM-07
VML-00034,V016,Ambika Bypass Km-14,2026-03-06 02:06:08,CAM-09
VML-00035,V011,Purana Peth Crossing,2026-03-06 07:40:05,CAM-03
VML-00036,V007,Vashisht Market Entry Gate,2026-03-06 08:45:42,CAM-02
VML-00037,V011,Shrivardhan Apartments Lane,2026-03-06 09:35:00,CAM-14
VML-00038,V004,Nandanvan Cold Storage Gate,2026-03-06 17:15:05,CAM-07
VML-00039,V006,Kaveri Depot Yard Gate,2026-03-06 17:42:45,CAM-06
VML-00040,V011,Shrivardhan Apartments Lane,2026-03-06 19:31:00,CAM-14
VML-00041,V006,Nandanvan Industrial Belt Junction,2026-03-06 19:58:32,CAM-08
VML-00042,V007,Ambika Bypass Km-14,2026-03-06 20:38:51,CAM-09
VML-00043,V009,Kaveri Depot Yard Gate,2026-03-07 01:54:52,CAM-06
VML-00044,V018,Vashisht Market Entry Gate,2026-03-07 03:09:28,CAM-02
VML-00045,V012,Ghatpimpri Toll Plaza Lane 5,2026-03-07 04:35:33,CAM-05
VML-00046,V011,Shrivardhan Apartments Lane,2026-03-07 09:05:00,CAM-14
VML-00047,V014,Ghatpimpri Toll Plaza Lane 5,2026-03-07 14:00:03,CAM-05
VML-00048,V020,Nandanvan Cold Storage Gate,2026-03-07 17:30:35,CAM-07
VML-00049,V011,Shrivardhan Apartments Lane,2026-03-07 19:22:00,CAM-14
VML-00050,V012,Ambika Bypass Km-31,2026-03-08 07:36:18,CAM-10
VML-00051,V011,Shrivardhan Apartments Lane,2026-03-08 09:12:00,CAM-14
VML-00052,V017,Nandanvan Cold Storage Gate,2026-03-08 09:29:08,CAM-07
VML-00053,V010,Shrivardhan Apartments Lane,2026-03-08 10:30:00,CAM-14
VML-00054,V010,Ghatpimpri Toll Plaza Lane 2,2026-03-08 11:39:43,CAM-04
VML-00055,V012,Rewa Gate Check Post,2026-03-08 14:24:04,CAM-11
VML-00056,V018,Vashisht Market Entry Gate,2026-03-08 15:38:55,CAM-02
VML-00057,V011,Shrivardhan Apartments Lane,2026-03-08 19:17:00,CAM-14
VML-00058,V004,Old Airport Cargo Road,2026-03-08 21:17:43,CAM-12
VML-00059,V008,Nandanvan Cold Storage Gate,2026-03-09 01:58:37,CAM-07
VML-00060,V013,Ambika Bypass Km-31,2026-03-09 06:29:11,CAM-10
VML-00061,V011,Shrivardhan Apartments Lane,2026-03-09 09:33:00,CAM-14
VML-00062,V019,Nandanvan Industrial Belt Junction,2026-03-09 09:49:17,CAM-08
VML-00063,V010,Tilakwadi Signal,2026-03-09 14:52:07,CAM-01
VML-00064,V011,Shrivardhan Apartments Lane,2026-03-09 19:40:00,CAM-14
VML-00065,V007,Ghatpimpri Toll Plaza Lane 5,2026-03-09 22:33:06,CAM-05
VML-00066,V005,Tilakwadi Signal,2026-03-10 03:24:12,CAM-01
VML-00067,V009,Nandanvan Industrial Belt Junction,2026-03-10 04:47:57,CAM-08
VML-00068,V002,Shrivardhan Apartments Lane,2026-03-10 07:27:48,CAM-14
VML-00069,V011,Shrivardhan Apartments Lane,2026-03-10 09:10:00,CAM-14
VML-00070,V011,Ghatpimpri Toll Plaza Lane 5,2026-03-10 11:21:06,CAM-05
VML-00071,V002,Tilakwadi Signal,2026-03-10 16:38:59,CAM-01
